New Brunswick Power Generation Corp.,7D056EF0-A2A8-4453-AA6BEB39B141E1B2,11-10-2014T10:03,Energy Supplier
New York Industrial Energy Buyers,F5268F7D-8A12-4063-AE66038B12955C9E,11-10-2014T10:03,Energy Supplier
Noble Americas Energy Solutions LLC,A1C438C6-01FC-4AA6-9D26C17566971EB3,11-10-2014T10:03,Energy Supplier
NOCO Electric,E6622C48-2388-462A-BC26E88FDA23A549,11-10-2014T10:03,Energy Supplier
NextEra Energy Services,A9C6A94B-431A-47D7-A92D00DE698835A9,07-29-2014T17:03,Energy Supplier
Hudson Energy Services,2769E71C-4431-45FC-876C18750911A7F6,08-02-2014T15:28,Energy Supplier
Energy Plus,9902F3D0-CFA6-4A7A-A928FCE60018B2DF,08-11-2014T13:39,Energy Supplier
Champion Energy Services,CCB19129-EF04-4143-A9B7CFD933898E5B,08-13-2014T10:15,Energy Supplier
PGW,9D8076AA-63BA-41B3-87D34DABE5B14C02,08-14-2014T09:24,Utility
UGI EnergyLink,F13C5BFD-EC79-4E89-BA75003DBBE7EBC,08-14-2014T09:29,Energy Supplier
Liberty Power,05D4CD56-82FF-4C5B-95656DD222EC7764,07-28-2014T12:45,Energy Supplier
Gateway,B3545E20-C6ED-4DFE-A225DEFF22185995,08-13-2014T17:22,Energy Supplier
AEP,C5211796-042D-4891-BD00EC40A329B029,08-05-2014T18:28,Energy Supplier
XOOM Energy,7D2366D2-F3FA-48AC-B37485741148F39E,08-05-2014T14:29,Energy Supplier
Ambit Energy,D8A11664-A278-4526-A7550000767ECABC,08-06-2014T16:27,Energy Supplier
Public Power & Utility of Maryland,6788D51B-6091-4A3D-924EC7A2EC9800E1,08-15-2014T10:10,Energy Supplier
energy.me,AA8B6BF6-C48B-4483-B62EE287B6597D45,09-04-2014T17:23,Energy Supplier
PotomacEdison,2093B885-C8C1-4023-B641B933FF3F71CD,09-16-2014T09:38,Utility
Nordic Energy,AC0070FA-08D7-45E8-BE4C52582D01F11E,09-16-2014T07:41,Energy Supplier
