id,name,registrationrule,state_id,display_name,created,modified,guid,type
152,NECO,1,,NECO,2014-12-11 17:53:52.510592-05,2014-12-23 12:51:30.384568-05,fe6b391a-6232-446d-b893-e9450abd59af,1
93,NEPM II,1,,NEPM II,2014-12-11 17:53:52.32229-05,2014-12-23 12:51:30.388285-05,7662c980-c7d2-4318-8374-7c6139c8aba5,2
94,New Brunswick Power Generation Corp.,1,,New Brunswick Power Generation Corp.,2014-12-11 17:53:52.325238-05,2014-12-23 12:51:30.391933-05,155fcdc3-3aa9-4437-ac71-53af9986f6b8,2
95,New York Industrial Energy Buyers,1,,New York Industrial Energy Buyers,2014-12-11 17:53:52.328117-05,2014-12-23 12:51:30.395761-05,abcd25fc-30b6-4d34-a0cd-600d41e2278f,2
15,New York State Electric and Gas,1,32,NYSEG,2014-10-10 14:53:14.940616-04,2014-12-23 12:51:30.423916-05,d3b99b5c-76d3-4dfc-856f-6ab69cf9b7ef,1
98,NextEra Energy Services,1,,NextEra Energy Services,2014-12-11 17:53:52.33677-05,2014-12-23 12:51:30.427861-05,3d7ba955-7430-4292-b427-2df8cc6c05dd,2
136,NIMO,1,,NIMO,2014-12-11 17:53:52.46464-05,2014-12-23 12:51:30.431814-05,428cf0d0-313b-42eb-8f13-5f65fd295ce8,1
96,Noble Americas Energy Solutions LLC,1,,Noble Americas Energy Solutions LLC,2014-12-11 17:53:52.330964-05,2014-12-23 12:51:30.435601-05,b236e640-112f-47c9-b413-79123f0028d8,2
97,NOCO Electric,1,,NOCO Electric,2014-12-11 17:53:52.33395-05,2014-12-23 12:51:30.439629-05,b1cc77dc-702d-4881-8d39-cd88578b0cc4,2
111,Nordic Energy,1,,Nordic Energy,2014-12-11 17:53:52.378839-05,2014-12-23 12:51:30.443327-05,4dcf378a-311f-4686-8cd9-bf8ef2b4b9c0,2
160,NOVEC Energy Solutions,1,,NOVEC Energy Solutions,2014-12-11 17:53:52.533948-05,2014-12-23 12:51:30.447107-05,8e8370c0-41dd-4327-b1a5-01d3b5304dc6,2
28,NRG Energy,1,,NRG Energy,2014-12-11 17:53:52.135793-05,2014-12-23 12:51:30.450812-05,ccaa8361-644e-406c-9bef-e50ff6cb6c4a,2
137,NYSEG,1,,NYSEG,2014-12-11 17:53:52.467565-05,2014-12-23 12:51:30.454945-05,5443aa1e-f76f-4ed3-a52b-8a00ae73e5d4,1
202,NYSEG Solutions Inc,1,,NYSEG Solutions Inc,2014-12-11 17:53:52.663229-05,2014-12-23 12:51:30.458688-05,6cd6e1a5-b6bd-46a7-b703-71e70fc1b9c7,2
155,ONC,1,,ONC,2014-12-11 17:53:52.519572-05,2014-12-23 12:51:30.487636-05,2e08ee6d-1761-4270-a635-54b94b98ef01,1
203,OnPAC Energy,1,,OnPAC Energy,2014-12-11 17:53:52.666052-05,2014-12-23 12:51:30.49143-05,085397b9-02da-4ea6-893c-acf0ad7ac4f3,2
143,OPCO,1,,OPCO,2014-12-11 17:53:52.485409-05,2014-12-23 12:51:30.495171-05,9352609b-74bb-467d-939f-545c745e182a,1
138,OR,1,,OR,2014-12-11 17:53:52.47045-05,2014-12-23 12:51:30.498874-05,a8deb4bc-26c6-40b1-b131-1b49941d4619,1
204,Our Energy LLC,1,,Our Energy LLC,2014-12-11 17:53:52.668817-05,2014-12-23 12:51:30.502879-05,f7915b39-11e4-4e9b-af98-c6da4be839bb,2
205,Palmco,1,,Palmco,2014-12-11 17:53:52.671642-05,2014-12-23 12:51:30.506649-05,dbb0d790-e633-49fa-a752-445d6ec09c76,2
206,PBF Power Marketing LLC,1,,PBF Power Marketing LLC,2014-12-11 17:53:52.6745-05,2014-12-23 12:51:30.510394-05,77a36681-d8d1-49bc-804d-126f21d50bae,2
8,PECO,1,38,PECO,,2014-12-23 12:51:30.514088-05,72d7ae71-14c2-489b-ab33-3f27bb0ed7ff,1
149,PENELEC,1,,PENELEC,2014-12-11 17:53:52.502151-05,2014-12-23 12:51:30.54211-05,b2dd80d4-e71d-411e-b1b6-852d24c0829d,1
207,Penstar Power,1,,Penstar Power,2014-12-11 17:53:52.677293-05,2014-12-23 12:51:30.545848-05,7b8a1d8e-22e4-447f-b887-2e8126cb4592,2
1,Pepco (DC),1,8,Pepco,,2014-12-23 12:51:30.549582-05,423a74f2-890f-4645-9103-66e05228726a,1
7,Pepco (MD),3,20,Pepco,,2014-12-23 12:51:30.553248-05,5f4bbda1-fdfa-4832-93cc-32d27c3edd9f,1
9,PGW,0,38,Philadelphia Gas Works,,2014-12-23 12:51:30.556895-05,319f8ee5-768a-43ab-b03c-ac6b5a277918,1
13,Piedmont (PA),1,38,Piedmont,2014-09-29 15:45:02.145558-04,2014-12-23 12:51:30.560581-05,599cd4ac-b597-41dc-bac5-55e94199d3e7,1
208,Pilot Power Group Inc,1,,Pilot Power Group Inc,2014-12-11 17:53:52.680102-05,2014-12-23 12:51:30.564286-05,39806e61-338d-4d8d-80c7-3856505d8b32,2
35,Ping Energy,1,,Ping Energy,2014-12-11 17:53:52.155877-05,2014-12-23 12:51:30.567946-05,8462ef2e-8cfe-4ac4-9207-c04acc9ad8f3,2
209,"Plymouth Rock Energy, LLC",1,,"Plymouth Rock Energy, LLC",2014-12-11 17:53:52.682916-05,2014-12-23 12:51:30.571599-05,2998c672-95af-4310-9767-af0cb1d1571a,2
210,PNE Energy Supply LLC,1,,PNE Energy Supply LLC,2014-12-11 17:53:52.685686-05,2014-12-23 12:51:30.575522-05,6cc08912-db22-4893-93a6-54e2a31e2cda,2
165,PO,1,,PO,2014-12-11 17:53:52.558694-05,2014-12-23 12:51:30.579259-05,a4aab037-24c5-4315-94a0-b3a1db3b548a,1
211,"Potentia Energy, LLC",1,,"Potentia Energy, LLC",2014-12-11 17:53:52.68855-05,2014-12-23 12:51:30.58294-05,45b35dad-1f79-40d1-b0cb-c9272cf713f3,2
110,PotomacEdison,1,,PotomacEdison,2014-12-11 17:53:52.375989-05,2014-12-23 12:51:30.586635-05,b5afaac3-df9e-4aff-aba0-b6aefadfd7a3,1
12,Potomac Edison (MD),1,20,Potomac Edison (MD),2014-09-22 17:39:42.438809-04,2014-12-23 12:51:30.590304-05,f1d72f87-c1bc-4965-9782-3b640ed03d6c,1
212,Power Choice/Pepco Energy Serv,1,,Power Choice/Pepco Energy Serv,2014-12-11 17:53:52.691346-05,2014-12-23 12:51:30.594045-05,78dd34a4-6410-454b-a0e8-1032328c1dc3,2
150,PP,1,,PP,2014-12-11 17:53:52.50492-05,2014-12-23 12:51:30.597993-05,0a6bdea2-16c4-4acc-8962-ac98005ee67a,1
151,PPL,1,,PPL,2014-12-11 17:53:52.507815-05,2014-12-23 12:51:30.601663-05,2f79cb6e-e390-4cb4-8f52-53038db5377f,1
175,PPL Electric,1,,PPL Electric,2014-12-11 17:53:52.587241-05,2014-12-23 12:51:30.605351-05,59eb3c90-9b46-4181-b2c5-834a164f1023,1
18,PPL Electric Utilities,1,,"",2014-11-04 17:16:37.001238-05,2014-12-23 12:51:30.609295-05,e6b8d934-a957-4280-9e1f-f39d8804ca74,1
213,PPL EnergyPlus LLC,1,,PPL EnergyPlus LLC,2014-12-11 17:53:52.694158-05,2014-12-23 12:51:30.613166-05,d6857186-1833-4d02-aa8f-e9bce36375cd,2
32,ProEnergy Services,1,,ProEnergy Services,2014-12-11 17:53:52.147324-05,2014-12-23 12:51:30.616859-05,2f10bcdd-4804-4523-befe-978f665b8111,2
130,PSEG,1,,PSEG,2014-12-11 17:53:52.447746-05,2014-12-23 12:51:30.620556-05,d12548c2-974d-446c-8dda-66fade2cfacf,1
214,Public Power LLC,1,,Public Power LLC,2014-12-11 17:53:52.696998-05,2014-12-23 12:51:30.624413-05,46e4e827-5c90-4670-9527-a2b21cb709fd,2
108,Public Power & Utility of Maryland,1,,Public Power & Utility of Maryland,2014-12-11 17:53:52.370316-05,2014-12-23 12:51:30.628127-05,5c5d77aa-05c3-422f-8f86-742eac5d5404,2
215,"Reach Energy, LLC",1,,"Reach Energy, LLC",2014-12-11 17:53:52.699792-05,2014-12-23 12:51:30.631839-05,36928787-4258-4e06-863b-1f5850e533ca,2
131,RECO,1,,RECO,2014-12-11 17:53:52.450493-05,2014-12-23 12:51:30.635536-05,0f1c198e-d9bf-4121-9948-554d810dded0,1
216,"Reliable Power, LLC",1,,"Reliable Power, LLC",2014-12-11 17:53:52.702594-05,2014-12-23 12:51:30.639244-05,d15b18ea-2643-4056-85d0-5903a33647dc,2
217,Reliant Energy Retail Services,1,,Reliant Energy Retail Services,2014-12-11 17:53:52.705403-05,2014-12-23 12:51:30.643183-05,dae60a4e-5754-46b2-a7a1-a67545a492ca,2
139,RGE,1,,RGE,2014-12-11 17:53:52.473283-05,2014-12-23 12:51:30.647149-05,ff483c7d-47b6-4c6d-8dba-ad494cf7fb87,1
218,"Robison Energy, LLC",1,,"Robison Energy, LLC",2014-12-11 17:53:52.708221-05,2014-12-23 12:51:30.650968-05,306bcbca-2ad3-477d-b0ef-06408ead890a,2
17,Rochester Gas and Electric,1,32,RGE,2014-10-15 16:16:25.146155-04,2014-12-23 12:51:30.654777-05,45233024-cee8-4200-924d-2cc98ebef545,1
22,SEMCO Energy,1,22,SEMCO Energy,2014-12-08 13:22:04.839952-05,2014-12-23 12:51:30.65896-05,2175d97e-e2ad-4c17-8dc6-72b082db0348,1
219,"Shell Energy North America (US), L.P.",1,,"Shell Energy North America (US), L.P.",2014-12-11 17:53:52.711011-05,2014-12-23 12:51:30.662675-05,5d4221f7-79a1-47b4-a2bb-f34e3d7d7ff8,2
221,"SmartCom Energy Services, LLC",1,,"SmartCom Energy Services, LLC",2014-12-11 17:53:52.716588-05,2014-12-23 12:51:30.66633-05,0153299a-bcd4-4a06-94fe-5720806b0505,2
25,Smart One Energy,1,,Smart One Energy,2014-12-11 17:53:52.115997-05,2014-12-23 12:51:30.66998-05,15fec7f3-ba96-4159-a8ab-a67f327f01e5,2
220,Smart Prepaid Electric,1,,Smart Prepaid Electric,2014-12-11 17:53:52.713781-05,2014-12-23 12:51:30.673712-05,a9262bd1-9d1b-4af3-8a9a-e9e9c01e29da,2
26,SMECO,1,,SMECO,2014-12-11 17:53:52.118913-05,2014-12-23 12:51:30.677381-05,752d3e12-e63f-4c74-ae88-6cfb8d8287cc,1
29,Source Power and Gas,1,,Source Power and Gas,2014-12-11 17:53:52.138694-05,2014-12-23 12:51:30.681161-05,ae161d0c-0a22-409b-8296-cefc7e4f20d1,2
169,Southern California Edison,1,,Southern California Edison,2014-12-11 17:53:52.570142-05,2014-12-23 12:51:30.686693-05,35402132-7fbb-46c1-ae63-503355e136ca,1
11,Southern Maryland Electric Cooperative,1,20,Southern Maryland Electric Cooperative,2014-07-07 17:30:12.323227-04,2014-12-23 12:51:30.690564-05,64a1c967-5956-4b73-b13b-cc3e52eca38e,1
222,South Jersey Energy Company,1,,South Jersey Energy Company,2014-12-11 17:53:52.719376-05,2014-12-23 12:51:30.71952-05,d1f552f2-7289-49ad-93fe-07c41379d446,2
223,"Spark Energy, LP",1,,"Spark Energy, LP",2014-12-11 17:53:52.72215-05,2014-12-23 12:51:30.725548-05,7145b153-7e76-41e9-bdb5-80ebaaa20988,2
224,"Spartan Renewable Energy, Inc",1,,"Spartan Renewable Energy, Inc",2014-12-11 17:53:52.724935-05,2014-12-23 12:51:30.729573-05,4763e6fd-aa01-43fd-8433-1c05d94ed803,2
171,Standard Offer Service,1,,Standard Offer Service,2014-12-11 17:53:52.57572-05,2014-12-23 12:51:30.733532-05,d74dbab2-547f-49ea-a029-13b1f2fc3ea7,2
174,Starion,1,,Starion,2014-12-11 17:53:52.584447-05,2014-12-23 12:51:30.737588-05,3a49c1aa-3e42-415f-839c-4cd56e57f8ce,2
225,StarTex Power,1,,StarTex Power,2014-12-11 17:53:52.727735-05,2014-12-23 12:51:30.741681-05,228aba7b-44a5-49d1-894e-9e93a35ebc6e,2
173,Stream Energy,1,,Stream Energy,2014-12-11 17:53:52.581563-05,2014-12-23 12:51:30.745569-05,c1014d8a-b7bc-4db5-b622-f3cfbf26a559,2
226,Suez Energy Resources North Am,1,,Suez Energy Resources North Am,2014-12-11 17:53:52.730531-05,2014-12-23 12:51:30.749422-05,d8af8b4d-ad19-46a4-ad08-1c97f9aa52a9,2
227,Summer Energy LLC,1,,Summer Energy LLC,2014-12-11 17:53:52.733297-05,2014-12-23 12:51:30.753234-05,46c2fe5a-6625-49c8-8484-ca1750c7a832,2
228,Tara Energy Resources,1,,Tara Energy Resources,2014-12-11 17:53:52.736117-05,2014-12-23 12:51:30.757018-05,ba7ef6a5-2bf5-403f-a5b2-28b535bbfeb1,2
229,Tenaska Power Services,1,,Tenaska Power Services,2014-12-11 17:53:52.738957-05,2014-12-23 12:51:30.760782-05,04f3b5a1-ce59-4be9-b98f-9a8659ca1486,2
230,Texas General Land Office,1,,Texas General Land Office,2014-12-11 17:53:52.741779-05,2014-12-23 12:51:30.789753-05,a687d824-3297-4b5b-aee7-1c2a8b36c047,2
231,"Texas Power, LP",1,,"Texas Power, LP",2014-12-11 17:53:52.744557-05,2014-12-23 12:51:30.793695-05,c6e21160-5f9a-4816-8b82-21b338b16291,2
232,"Texas Retail Energy, LLC",1,,"Texas Retail Energy, LLC",2014-12-11 17:53:52.747347-05,2014-12-23 12:51:30.797448-05,87eb13d6-ac3d-44e0-8740-c37aa74f6505,2
170,The Gas Company,1,,The Gas Company,2014-12-11 17:53:52.572915-05,2014-12-23 12:51:30.801242-05,5faa3d83-2e5a-4afe-a621-096eebd796ac,1
166,THINK,1,,THINK,2014-12-11 17:53:52.561488-05,2014-12-23 12:51:30.805032-05,032bd011-2709-4fdd-8116-c020265d175f,2
31,Tiger Energy Services,1,,Tiger Energy Services,2014-12-11 17:53:52.144463-05,2014-12-23 12:51:30.8087-05,5c5f9563-c27f-44cd-817f-78ffd57c361d,2
156,TNMP,1,,TNMP,2014-12-11 17:53:52.52237-05,2014-12-23 12:51:30.812424-05,51498ce4-1be7-492c-9b1d-7fbcad7ec805,1
233,"TransCanada Power Marketing, Ltd.",1,,"TransCanada Power Marketing, Ltd.",2014-12-11 17:53:52.75015-05,2014-12-23 12:51:30.81617-05,10ed7247-2280-4638-81a8-4e1d9111dae2,2
234,"TriEagle Energy, L.P.",1,,"TriEagle Energy, L.P.",2014-12-11 17:53:52.753024-05,2014-12-23 12:51:30.820448-05,cb5a5e4a-d2dd-48d5-a492-e8de0ca198e9,2
235,True Electric LLC,1,,True Electric LLC,2014-12-11 17:53:52.755849-05,2014-12-23 12:51:30.82452-05,4728df25-dcbd-47f4-9878-b99a0edef04c,2
14,TXU Energy,1,43,TXU Energy,2014-10-07 17:27:25.844351-04,2014-12-23 12:51:30.853544-05,58054e15-c45a-496b-8d93-72f471c3073c,2
102,UGI EnergyLink,1,,UGI EnergyLink,2014-12-11 17:53:52.353352-05,2014-12-23 12:51:30.857671-05,a8efdf35-faf8-4814-a998-999f363f26e4,2
159,UGI (Utility),1,,UGI (Utility),2014-12-11 17:53:52.531051-05,2014-12-23 12:51:30.86199-05,cf4d5f12-a7d5-455d-a0e6-8a8d150b46f1,1
116,UI,1,,UI,2014-12-11 17:53:52.408828-05,2014-12-23 12:51:30.865941-05,29c76a30-ab24-4155-8078-378f331afc11,1
237,"UP Power Marketing, LLC",1,,"UP Power Marketing, LLC",2014-12-11 17:53:52.761448-05,2014-12-23 12:51:30.869985-05,0718cd9b-9a10-4ffb-978c-abd498a55503,2
236,U.S. Energy Partners LLC,1,,U.S. Energy Partners LLC,2014-12-11 17:53:52.758647-05,2014-12-23 12:51:30.873953-05,214e480a-d331-49c3-9b5c-1630f7a59b7b,2
238,"US Retailers, LLC",1,,"US Retailers, LLC",2014-12-11 17:53:52.764249-05,2014-12-23 12:51:30.878074-05,7e5af2cd-0994-4c1f-b0c3-8d5010241ae7,2
239,Veteran Energy LLC,1,,Veteran Energy LLC,2014-12-11 17:53:52.76706-05,2014-12-23 12:51:30.882116-05,e892a981-1065-47c3-8502-26ee18c59904,2
240,Village of Hilton,1,,Village of Hilton,2014-12-11 17:53:52.769839-05,2014-12-23 12:51:30.886018-05,a6e474fa-b43e-47eb-888c-5bae5ebfaf1e,2
241,Viridian Energy LLC,1,,Viridian Energy LLC,2014-12-11 17:53:52.772622-05,2014-12-23 12:51:30.890117-05,2ec8e5de-280c-4a37-8a42-1cdc1f9b35d7,2
158,Washington Gas,1,,Washington Gas,2014-12-11 17:53:52.528179-05,2014-12-23 12:51:30.893962-05,285992ef-515e-4426-bab2-55e0975d1d5a,1
0,Washington Gas (DC),2,8,Washington Gas,,2014-12-23 12:51:30.923527-05,2ac56bff-fb88-4ac8-8b7f-f97b903750f4,1
4,Washington Gas (MD),4,20,Washington Gas,,2014-12-23 12:51:30.927381-05,e1cb8702-3889-49f3-ba2f-ca99466c052f,1
6,Washington Gas (VA),1,46,Washington Gas,,2014-12-23 12:51:30.931228-05,4963e6c0-1069-4172-999a-5e8edd09766b,1
162,WGES,1,,WGES,2014-12-11 17:53:52.539717-05,2014-12-23 12:51:30.935125-05,ab12c96e-646f-42a8-88b6-54f7d89273dd,2
242,Withheld,1,,Withheld,2014-12-11 17:53:52.775465-05,2014-12-23 12:51:30.939032-05,37dd3d97-a953-494d-9516-72cd06978d84,2
127,WMECO,1,,WMECO,2014-12-11 17:53:52.4395-05,2014-12-23 12:51:30.942944-05,e6c0327e-aafa-4ed4-bd10-90cadce0fa67,1
243,"Wolverine Alternative Investments, LLC",1,,"Wolverine Alternative Investments, LLC",2014-12-11 17:53:52.778299-05,2014-12-23 12:51:30.946748-05,cadc785e-b494-4a5e-9171-24e01a98880a,2
34,World Energy,1,,World Energy,2014-12-11 17:53:52.153001-05,2014-12-23 12:51:30.950547-05,e60712ef-086a-471b-ae5a-92a5dc0bc033,2
146,WPP,1,,WPP,2014-12-11 17:53:52.493743-05,2014-12-23 12:51:30.954363-05,ffadd81e-455a-476a-a6f1-3655a6ad9f92,1
164,WTU,1,,WTU,2014-12-11 17:53:52.555887-05,2014-12-23 12:51:30.958294-05,a97cc653-fd48-4a7c-9f9a-09c47c3b930b,1
